Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Dengue,sweating,swelling_of_stomach,knee_pain,painful_walking,itching,mild_fever,swollen_legs,
Hepatitis B,patches_in_throat,blister,mood_swings,lethargy,dark_urine,,,
Jaundice,yellow_crust_ooze,dehydration,weakness_in_limbs,burning_micturition,pain_behind_the_eyes,cough,,
Common Cold,nausea,high_fever,congestion,blurred_and_distorted_vision,neck_pain,rusty_sputum,silver_like_dusting,
Common Cold,silver_like_dusting,blurred_and_distorted_vision,nausea,high_fever,congestion,rusty_sputum,neck_pain,
Hepatitis D,family_history,redness_of_eyes,dizziness,stiff_neck,palpitations,altered_sensorium,headache,history_of_alcohol_consumption
Dengue,swelling_of_stomach,itching,painful_walking,sweating,mild_fever,knee_pain,swollen_legs,
Hypertension,yellow_urine,blackheads,weakness_in_limbs,acute_liver_failure,puffy_face_and_eyes,belly_pain,neck_pain,loss_of_balance
Peptic ulcer disease,swollen_legs,continuous_feel_of_urine,toxic_look_(typhos),vomiting,,,,
Migraine,family_history,swelling_joints,acidity,pain_during_bowel_movements,,,,
Hepatitis B,lethargy,blister,dark_urine,mood_swings,patches_in_throat,,,
Alcoholic hepatitis,weight_loss,mood_swings,anxiety,pain_during_bowel_movements,,,,
Peptic ulcer disease,continuous_feel_of_urine,swollen_legs,toxic_look_(typhos),vomiting,,,,
Hepatitis D,stiff_neck,family_history,dizziness,history_of_alcohol_consumption,headache,redness_of_eyes,palpitations,altered_sensorium
Allergy,acidity,receiving_unsterile_injections,breathlessness,irregular_sugar_level,stomach_pain,,,
Varicose veins,sunken_eyes,restlessness,blood_in_sputum,dizziness,blackheads,burning_micturition,,
Hepatitis E,chills,weakness_in_limbs,pain_during_bowel_movements,cold_hands_and_feets,loss_of_smell,,,
AIDS,mood_swings,phlegm,red_spots_over_body,slurred_speech,lethargy,yellowish_skin,depression,
Drug Reaction,breathlessness,belly_pain,loss_of_smell,diarrhoea,chest_pain,cough,,
Urinary tract infection,pus_filled_pimples,nodal_skin_eruptions,weight_loss,congestion,sunken_eyes,swelling_joints,swollen_legs,
Hepatitis E,pain_during_bowel_movements,loss_of_smell,weakness_in_limbs,chills,cold_hands_and_feets,,,
Hypothyroidism,blister,continuous_sneezing,rusty_sputum,congestion,inflammatory_nails,bloody_stool,yellowing_of_eyes,cough
Hypoglycemia,receiving_unsterile_injections,slurred_speech,blister,blurred_and_distorted_vision,diarrhoea,chest_pain,,
Acne,irritation_in_anus,knee_pain,polyuria,nausea,swelling_joints,obesity,sinus_pressure,swollen_legs
Heart attack,pain_behind_the_eyes,blurred_and_distorted_vision,prominent_veins_on_calf,receiving_unsterile_injections,swelled_lymph_nodes,,,
Hypothyroidism,continuous_sneezing,congestion,rusty_sputum,bloody_stool,inflammatory_nails,yellowing_of_eyes,cough,blister
Dengue,painful_walking,swollen_legs,knee_pain,mild_fever,itching,sweating,swelling_of_stomach,
Peptic ulcer disease,toxic_look_(typhos),vomiting,swollen_legs,continuous_feel_of_urine,,,,
Hypothyroidism,cough,bloody_stool,continuous_sneezing,rusty_sputum,inflammatory_nails,congestion,blister,yellowing_of_eyes
Typhoid,throat_irritation,itching,red_sore_around_nose,altered_sensorium,diarrhoea,spinning_movements,shivering,yellow_urine
Varicose veins,blackheads,blood_in_sputum,dizziness,restlessness,burning_micturition,sunken_eyes,,
Hepatitis D,altered_sensorium,history_of_alcohol_consumption,redness_of_eyes,stiff_neck,palpitations,headache,family_history,dizziness
Hepatitis B,mood_swings,blister,dark_urine,patches_in_throat,lethargy,,,
Varicose veins,dizziness,blood_in_sputum,blackheads,burning_micturition,sunken_eyes,restlessness,,
Typhoid,spinning_movements,shivering,itching,throat_irritation,red_sore_around_nose,diarrhoea,altered_sensorium,yellow_urine
Dengue,painful_walking,sweating,swollen_legs,itching,swelling_of_stomach,knee_pain,mild_fever,
Impetigo,nodal_skin_eruptions,hip_joint_pain,breathlessness,history_of_alcohol_consumption,knee_pain,,,
Varicose veins,dizziness,sunken_eyes,blackheads,restlessness,burning_micturition,blood_in_sputum,,
Chicken pox,cramps,nodal_skin_eruptions,bladder_discomfort,swollen_blood_vessels,indigestion,dehydration,scurring,slurred_speech
Bronchial Asthma,weight_loss,swollen_blood_vessels,muscle_pain,runny_nose,internal_itching,,,
Diabetes,drying_and_tingling_lips,pain_during_bowel_movements,lethargy,pain_in_anal_region,,,,
Hypoglycemia,receiving_unsterile_injections,diarrhoea,blister,slurred_speech,chest_pain,blurred_and_distorted_vision,,
Hepatitis A,muscle_weakness,weight_gain,irritation_in_anus,depression,,,,
Paralysis (brain hemorrhage),family_history,swollen_legs,coma,dizziness,pain_behind_the_eyes,,,
Hypertension,yellow_urine,loss_of_balance,puffy_face_and_eyes,weakness_in_limbs,acute_liver_failure,belly_pain,neck_pain,blackheads
Dimorphic hemmorhoids(piles),sunken_eyes,dizziness,fatigue,anxiety,mucoid_sputum,loss_of_smell,sweating,
Typhoid,altered_sensorium,shivering,red_sore_around_nose,diarrhoea,throat_irritation,yellow_urine,spinning_movements,itching
Pneumonia,internal_itching,lack_of_concentration,receiving_unsterile_injections,stomach_bleeding,,,,
Bronchial Asthma,swollen_blood_vessels,weight_loss,muscle_pain,internal_itching,runny_nose,,,
Hypertension,blackheads,acute_liver_failure,neck_pain,yellow_urine,weakness_in_limbs,puffy_face_and_eyes,loss_of_balance,belly_pain
Heart attack,blurred_and_distorted_vision,swelled_lymph_nodes,prominent_veins_on_calf,receiving_unsterile_injections,pain_behind_the_eyes,,,
Dimorphic hemmorhoids(piles),sweating,sunken_eyes,anxiety,mucoid_sputum,dizziness,loss_of_smell,fatigue,
Urinary tract infection,pus_filled_pimples,sunken_eyes,swollen_legs,weight_loss,congestion,swelling_joints,nodal_skin_eruptions,
Dengue,sweating,knee_pain,itching,swollen_legs,painful_walking,mild_fever,swelling_of_stomach,
Dengue,itching,knee_pain,mild_fever,sweating,swollen_legs,swelling_of_stomach,painful_walking,
Hepatitis D,history_of_alcohol_consumption,palpitations,altered_sensorium,stiff_neck,redness_of_eyes,dizziness,family_history,headache
Hypothyroidism,bloody_stool,inflammatory_nails,cough,continuous_sneezing,congestion,yellowing_of_eyes,blister,rusty_sputum
Hepatitis B,mood_swings,patches_in_throat,lethargy,dark_urine,blister,,,
Hyperthyroidism,belly_pain,swollen_legs,yellowing_of_eyes,itching,watering_from_eyes,anxiety,painful_walking,
Cervical spondylosis,cold_hands_and_feets,congestion,pus_filled_pimples,extra_marital_contacts,swelling_joints,polyuria,,
Chronic cholestasis,receiving_blood_transfusion,bladder_discomfort,mild_fever,receiving_unsterile_injections,weakness_in_limbs,skin_rash,prominent_veins_on_calf,brittle_nails
Diabetes,drying_and_tingling_lips,pain_in_anal_region,lethargy,pain_during_bowel_movements,,,,
Hypertension,neck_pain,yellow_urine,puffy_face_and_eyes,blackheads,weakness_in_limbs,acute_liver_failure,loss_of_balance,belly_pain
Diabetes,drying_and_tingling_lips,lethargy,pain_during_bowel_movements,pain_in_anal_region,,,,
Hypothyroidism,continuous_sneezing,inflammatory_nails,cough,yellowing_of_eyes,bloody_stool,blister,congestion,rusty_sputum
Malaria,cold_hands_and_feets,mild_fever,belly_pain,receiving_unsterile_injections,abnormal_menstruation,,,
Urinary tract infection,pus_filled_pimples,nodal_skin_eruptions,swollen_legs,swelling_joints,weight_loss,congestion,sunken_eyes,
Hepatitis C,receiving_unsterile_injections,yellowing_of_eyes,silver_like_dusting,swollen_legs,congestion,,,
Hepatitis A,irritation_in_anus,muscle_weakness,depression,weight_gain,,,,
Osteoarthristis,anxiety,weight_gain,swelling_joints,burning_micturition,,,,
Arthritis,small_dents_in_nails,mucoid_sputum,mood_swings,malaise,mild_fever,weight_gain,lethargy,bloody_stool
Jaundice,burning_micturition,pain_behind_the_eyes,dehydration,yellow_crust_ooze,weakness_in_limbs,cough,,
Alcoholic hepatitis,anxiety,weight_loss,pain_during_bowel_movements,mood_swings,,,,
Hypothyroidism,yellowing_of_eyes,inflammatory_nails,congestion,bloody_stool,blister,rusty_sputum,cough,continuous_sneezing
AIDS,lethargy,mood_swings,phlegm,red_spots_over_body,yellowish_skin,slurred_speech,depression,
Drug Reaction,diarrhoea,chest_pain,belly_pain,cough,loss_of_smell,breathlessness,,
Peptic ulcer disease,toxic_look_(typhos),continuous_feel_of_urine,vomiting,swollen_legs,,,,
Hepatitis B,patches_in_throat,dark_urine,blister,lethargy,mood_swings,,,
Malaria,abnormal_menstruation,mild_fever,belly_pain,receiving_unsterile_injections,cold_hands_and_feets,,,
Pneumonia,internal_itching,lack_of_concentration,receiving_unsterile_injections,stomach_bleeding,,,,
Dimorphic hemmorhoids(piles),loss_of_smell,dizziness,mucoid_sputum,fatigue,anxiety,sweating,sunken_eyes,
Chronic cholestasis,mild_fever,bladder_discomfort,receiving_blood_transfusion,weakness_in_limbs,brittle_nails,receiving_unsterile_injections,prominent_veins_on_calf,skin_rash
Vertigo,receiving_blood_transfusion,lethargy,dizziness,muscle_wasting,,,,
Peptic ulcer disease,continuous_feel_of_urine,toxic_look_(typhos),swollen_legs,vomiting,,,,
Hypothyroidism,rusty_sputum,continuous_sneezing,inflammatory_nails,blister,congestion,yellowing_of_eyes,cough,bloody_stool
Heart attack,swelled_lymph_nodes,receiving_unsterile_injections,blurred_and_distorted_vision,prominent_veins_on_calf,pain_behind_the_eyes,,,
Hepatitis D,dizziness,redness_of_eyes,stiff_neck,headache,family_history,altered_sensorium,palpitations,history_of_alcohol_consumption
Alcoholic hepatitis,anxiety,pain_during_bowel_movements,weight_loss,mood_swings,,,,
Alcoholic hepatitis,weight_loss,anxiety,mood_swings,pain_during_bowel_movements,,,,
Typhoid,diarrhoea,itching,shivering,altered_sensorium,yellow_urine,spinning_movements,red_sore_around_nose,throat_irritation
Urinary tract infection,swelling_joints,swollen_legs,sunken_eyes,weight_loss,nodal_skin_eruptions,pus_filled_pimples,congestion,
Jaundice,burning_micturition,weakness_in_limbs,cough,yellow_crust_ooze,pain_behind_the_eyes,dehydration,,
Impetigo,knee_pain,nodal_skin_eruptions,hip_joint_pain,breathlessness,history_of_alcohol_consumption,,,
GERD,pain_in_anal_region,chest_pain,throat_irritation,joint_pain,,,,
Peptic ulcer disease,toxic_look_(typhos),vomiting,continuous_feel_of_urine,swollen_legs,,,,
Migraine,swelling_joints,family_history,pain_during_bowel_movements,acidity,,,,
Hypoglycemia,receiving_unsterile_injections,chest_pain,blurred_and_distorted_vision,blister,diarrhoea,slurred_speech,,
Typhoid,diarrhoea,altered_sensorium,itching,shivering,yellow_urine,throat_irritation,red_sore_around_nose,spinning_movements
Tuberculosis,brittle_nails,weight_loss,unsteadiness,bloody_stool,,,,
Fungal infection,enlarged_thyroid,joint_pain,fast_heart_rate,neck_pain,,,,
Heart attack,blurred_and_distorted_vision,prominent_veins_on_calf,receiving_unsterile_injections,swelled_lymph_nodes,pain_behind_the_eyes,,,
Impetigo,hip_joint_pain,knee_pain,breathlessness,history_of_alcohol_consumption,nodal_skin_eruptions,,,
Varicose veins,dizziness,burning_micturition,blood_in_sputum,restlessness,sunken_eyes,blackheads,,
Drug Reaction,diarrhoea,chest_pain,cough,loss_of_smell,breathlessness,belly_pain,,
Diabetes,pain_in_anal_region,lethargy,pain_during_bowel_movements,drying_and_tingling_lips,,,,
Hepatitis A,muscle_weakness,irritation_in_anus,depression,weight_gain,,,,
Malaria,mild_fever,cold_hands_and_feets,abnormal_menstruation,receiving_unsterile_injections,belly_pain,,,
Hepatitis E,loss_of_smell,cold_hands_and_feets,chills,pain_during_bowel_movements,weakness_in_limbs,,,
Common Cold,silver_like_dusting,high_fever,nausea,rusty_sputum,neck_pain,congestion,blurred_and_distorted_vision,
Hepatitis E,chills,cold_hands_and_feets,weakness_in_limbs,pain_during_bowel_movements,loss_of_smell,,,
Hepatitis E,weakness_in_limbs,loss_of_smell,pain_during_bowel_movements,chills,cold_hands_and_feets,,,
Chronic cholestasis,mild_fever,bladder_discomfort,skin_rash,brittle_nails,receiving_blood_transfusion,weakness_in_limbs,prominent_veins_on_calf,receiving_unsterile_injections
Impetigo,nodal_skin_eruptions,hip_joint_pain,knee_pain,history_of_alcohol_consumption,breathlessness,,,
Malaria,abnormal_menstruation,cold_hands_and_feets,mild_fever,belly_pain,receiving_unsterile_injections,,,
Acne,knee_pain,swelling_joints,swollen_legs,polyuria,sinus_pressure,obesity,nausea,irritation_in_anus
Dengue,swelling_of_stomach,swollen_legs,mild_fever,itching,sweating,painful_walking,knee_pain,
Allergy,receiving_unsterile_injections,acidity,stomach_pain,breathlessness,irregular_sugar_level,,,
Acne,swollen_legs,knee_pain,irritation_in_anus,nausea,sinus_pressure,obesity,swelling_joints,polyuria
Hypoglycemia,slurred_speech,diarrhoea,blister,blurred_and_distorted_vision,chest_pain,receiving_unsterile_injections,,
Hyperthyroidism,painful_walking,swollen_legs,belly_pain,yellowing_of_eyes,itching,anxiety,watering_from_eyes,
Hypoglycemia,chest_pain,blister,slurred_speech,receiving_unsterile_injections,blurred_and_distorted_vision,diarrhoea,,
Tuberculosis,weight_loss,unsteadiness,bloody_stool,brittle_nails,,,,
Hypothyroidism,yellowing_of_eyes,rusty_sputum,blister,cough,bloody_stool,inflammatory_nails,continuous_sneezing,congestion
Dengue,mild_fever,swollen_legs,painful_walking,itching,knee_pain,sweating,swelling_of_stomach,
Heart attack,prominent_veins_on_calf,pain_behind_the_eyes,blurred_and_distorted_vision,receiving_unsterile_injections,swelled_lymph_nodes,,,
Arthritis,small_dents_in_nails,weight_gain,malaise,mood_swings,mild_fever,bloody_stool,mucoid_sputum,lethargy
Tuberculosis,weight_loss,unsteadiness,bloody_stool,brittle_nails,,,,
Hepatitis B,lethargy,patches_in_throat,dark_urine,blister,mood_swings,,,
Hepatitis E,weakness_in_limbs,chills,cold_hands_and_feets,pain_during_bowel_movements,loss_of_smell,,,
Peptic ulcer disease,swollen_legs,vomiting,continuous_feel_of_urine,toxic_look_(typhos),,,,
Hepatitis E,pain_during_bowel_movements,weakness_in_limbs,chills,cold_hands_and_feets,loss_of_smell,,,
Diabetes,pain_during_bowel_movements,lethargy,drying_and_tingling_lips,pain_in_anal_region,,,,
Chronic cholestasis,weakness_in_limbs,brittle_nails,receiving_unsterile_injections,receiving_blood_transfusion,mild_fever,prominent_veins_on_calf,bladder_discomfort,skin_rash
Bronchial Asthma,runny_nose,weight_loss,muscle_pain,internal_itching,swollen_blood_vessels,,,
Arthritis,mucoid_sputum,bloody_stool,lethargy,mild_fever,malaise,weight_gain,small_dents_in_nails,mood_swings
Urinary tract infection,sunken_eyes,weight_loss,pus_filled_pimples,swelling_joints,nodal_skin_eruptions,swollen_legs,congestion,
Hepatitis A,weight_gain,depression,muscle_weakness,irritation_in_anus,,,,
Migraine,pain_during_bowel_movements,family_history,swelling_joints,acidity,,,,
Drug Reaction,belly_pain,breathlessness,loss_of_smell,cough,diarrhoea,chest_pain,,
Alcoholic hepatitis,weight_loss,pain_during_bowel_movements,anxiety,mood_swings,,,,
Hypertension,neck_pain,belly_pain,blackheads,acute_liver_failure,weakness_in_limbs,loss_of_balance,yellow_urine,puffy_face_and_eyes
Hypertension,weakness_in_limbs,neck_pain,belly_pain,blackheads,yellow_urine,loss_of_balance,puffy_face_and_eyes,acute_liver_failure
Hypothyroidism,inflammatory_nails,blister,rusty_sputum,continuous_sneezing,cough,bloody_stool,yellowing_of_eyes,congestion
Diabetes,pain_during_bowel_movements,drying_and_tingling_lips,pain_in_anal_region,lethargy,,,,
Hypoglycemia,slurred_speech,blister,blurred_and_distorted_vision,receiving_unsterile_injections,diarrhoea,chest_pain,,
Urinary tract infection,sunken_eyes,pus_filled_pimples,congestion,nodal_skin_eruptions,weight_loss,swollen_legs,swelling_joints,
Chicken pox,slurred_speech,cramps,dehydration,indigestion,bladder_discomfort,scurring,nodal_skin_eruptions,swollen_blood_vessels
Migraine,swelling_joints,pain_during_bowel_movements,family_history,acidity,,,,
Hyperthyroidism,painful_walking,itching,yellowing_of_eyes,anxiety,belly_pain,swollen_legs,watering_from_eyes,
Pneumonia,receiving_unsterile_injections,lack_of_concentration,internal_itching,stomach_bleeding,,,,
Hepatitis B,lethargy,patches_in_throat,blister,mood_swings,dark_urine,,,
Impetigo,breathlessness,hip_joint_pain,history_of_alcohol_consumption,nodal_skin_eruptions,knee_pain,,,
Allergy,breathlessness,acidity,stomach_pain,irregular_sugar_level,receiving_unsterile_injections,,,
Hepatitis E,loss_of_smell,chills,weakness_in_limbs,pain_during_bowel_movements,cold_hands_and_feets,,,
Pneumonia,internal_itching,stomach_bleeding,receiving_unsterile_injections,lack_of_concentration,,,,
Tuberculosis,unsteadiness,weight_loss,brittle_nails,bloody_stool,,,,
Jaundice,burning_micturition,cough,dehydration,weakness_in_limbs,pain_behind_the_eyes,yellow_crust_ooze,,
Hypoglycemia,blurred_and_distorted_vision,receiving_unsterile_injections,chest_pain,diarrhoea,blister,slurred_speech,,
Malaria,cold_hands_and_feets,belly_pain,abnormal_menstruation,receiving_unsterile_injections,mild_fever,,,
Migraine,family_history,pain_during_bowel_movements,swelling_joints,acidity,,,,
Migraine,pain_during_bowel_movements,swelling_joints,acidity,family_history,,,,
Vertigo,dizziness,muscle_wasting,receiving_blood_transfusion,lethargy,,,,
Bronchial Asthma,weight_loss,runny_nose,internal_itching,muscle_pain,swollen_blood_vessels,,,
Impetigo,hip_joint_pain,history_of_alcohol_consumption,knee_pain,breathlessness,nodal_skin_eruptions,,,
Hepatitis D,headache,dizziness,history_of_alcohol_consumption,redness_of_eyes,palpitations,altered_sensorium,family_history,stiff_neck
Typhoid,altered_sensorium,red_sore_around_nose,shivering,yellow_urine,itching,throat_irritation,spinning_movements,diarrhoea
Dimorphic hemmorhoids(piles),fatigue,sweating,mucoid_sputum,anxiety,sunken_eyes,loss_of_smell,dizziness,
Hyperthyroidism,belly_pain,watering_from_eyes,painful_walking,swollen_legs,itching,anxiety,yellowing_of_eyes,
Hyperthyroidism,watering_from_eyes,itching,belly_pain,painful_walking,anxiety,yellowing_of_eyes,swollen_legs,
Dimorphic hemmorhoids(piles),fatigue,anxiety,mucoid_sputum,sunken_eyes,sweating,dizziness,loss_of_smell,
Typhoid,shivering,diarrhoea,spinning_movements,throat_irritation,itching,altered_sensorium,yellow_urine,red_sore_around_nose
Drug Reaction,cough,belly_pain,chest_pain,breathlessness,diarrhoea,loss_of_smell,,
Urinary tract infection,congestion,pus_filled_pimples,sunken_eyes,swelling_joints,nodal_skin_eruptions,weight_loss,swollen_legs,
Hepatitis D,dizziness,redness_of_eyes,family_history,stiff_neck,altered_sensorium,headache,palpitations,history_of_alcohol_consumption
Hepatitis A,depression,muscle_weakness,irritation_in_anus,weight_gain,,,,
Gastroenteritis,irritability,brittle_nails,painful_walking,belly_pain,,,,
Hyperthyroidism,yellowing_of_eyes,itching,swollen_legs,watering_from_eyes,painful_walking,anxiety,belly_pain,
Hepatitis C,congestion,swollen_legs,silver_like_dusting,yellowing_of_eyes,receiving_unsterile_injections,,,
Bronchial Asthma,internal_itching,swollen_blood_vessels,weight_loss,runny_nose,muscle_pain,,,
Hepatitis C,silver_like_dusting,receiving_unsterile_injections,swollen_legs,yellowing_of_eyes,congestion,,,
Bronchial Asthma,swollen_blood_vessels,muscle_pain,runny_nose,weight_loss,internal_itching,,,
Dimorphic hemmorhoids(piles),dizziness,loss_of_smell,sweating,sunken_eyes,anxiety,mucoid_sputum,fatigue,
Dimorphic hemmorhoids(piles),mucoid_sputum,fatigue,sweating,anxiety,dizziness,loss_of_smell,sunken_eyes,
Hepatitis E,cold_hands_and_feets,chills,loss_of_smell,pain_during_bowel_movements,weakness_in_limbs,,,
Alcoholic hepatitis,anxiety,pain_during_bowel_movements,weight_loss,mood_swings,,,,
Urinary tract infection,congestion,sunken_eyes,swollen_legs,pus_filled_pimples,swelling_joints,nodal_skin_eruptions,weight_loss,
Hypoglycemia,slurred_speech,blister,blurred_and_distorted_vision,chest_pain,diarrhoea,receiving_unsterile_injections,,
Dimorphic hemmorhoids(piles),anxiety,sweating,dizziness,fatigue,mucoid_sputum,sunken_eyes,loss_of_smell,
Hepatitis D,history_of_alcohol_consumption,stiff_neck,palpitations,family_history,headache,dizziness,altered_sensorium,redness_of_eyes
Peptic ulcer disease,continuous_feel_of_urine,vomiting,toxic_look_(typhos),swollen_legs,,,,
Hepatitis B,patches_in_throat,mood_swings,dark_urine,blister,lethargy,,,
GERD,throat_irritation,chest_pain,pain_in_anal_region,joint_pain,,,,
Varicose veins,dizziness,restlessness,burning_micturition,blackheads,sunken_eyes,blood_in_sputum,,
Chicken pox,nodal_skin_eruptions,bladder_discomfort,scurring,slurred_speech,swollen_blood_vessels,cramps,dehydration,indigestion
Malaria,receiving_unsterile_injections,belly_pain,abnormal_menstruation,mild_fever,cold_hands_and_feets,,,
Common Cold,silver_like_dusting,nausea,high_fever,congestion,neck_pain,rusty_sputum,blurred_and_distorted_vision,
Urinary tract infection,pus_filled_pimples,congestion,nodal_skin_eruptions,weight_loss,swollen_legs,swelling_joints,sunken_eyes,
Typhoid,shivering,yellow_urine,spinning_movements,diarrhoea,altered_sensorium,itching,throat_irritation,red_sore_around_nose
Migraine,family_history,acidity,swelling_joints,pain_during_bowel_movements,,,,
Drug Reaction,breathlessness,loss_of_smell,chest_pain,diarrhoea,belly_pain,cough,,
GERD,chest_pain,joint_pain,pain_in_anal_region,throat_irritation,,,,
Allergy,stomach_pain,acidity,irregular_sugar_level,breathlessness,receiving_unsterile_injections,,,
Impetigo,hip_joint_pain,knee_pain,breathlessness,nodal_skin_eruptions,history_of_alcohol_consumption,,,
Hepatitis D,redness_of_eyes,history_of_alcohol_consumption,family_history,altered_sensorium,stiff_neck,dizziness,headache,palpitations
Impetigo,nodal_skin_eruptions,knee_pain,history_of_alcohol_consumption,breathlessness,hip_joint_pain,,,
GERD,pain_in_anal_region,throat_irritation,chest_pain,joint_pain,,,,
Cervical spondylosis,pus_filled_pimples,congestion,extra_marital_contacts,polyuria,swelling_joints,cold_hands_and_feets,,
Osteoarthristis,weight_gain,anxiety,swelling_joints,burning_micturition,,,,
Cervical spondylosis,extra_marital_contacts,congestion,polyuria,cold_hands_and_feets,pus_filled_pimples,swelling_joints,,
Dengue,knee_pain,painful_walking,sweating,swelling_of_stomach,swollen_legs,itching,mild_fever,
Alcoholic hepatitis,mood_swings,anxiety,weight_loss,pain_during_bowel_movements,,,,
Hypothyroidism,yellowing_of_eyes,cough,congestion,continuous_sneezing,bloody_stool,rusty_sputum,inflammatory_nails,blister
Peptic ulcer disease,continuous_feel_of_urine,toxic_look_(typhos),swollen_legs,vomiting,,,,
Osteoarthristis,burning_micturition,anxiety,swelling_joints,weight_gain,,,,
Peptic ulcer disease,toxic_look_(typhos),continuous_feel_of_urine,vomiting,swollen_legs,,,,
Hepatitis A,depression,muscle_weakness,irritation_in_anus,weight_gain,,,,
Hypertension,belly_pain,neck_pain,puffy_face_and_eyes,weakness_in_limbs,acute_liver_failure,blackheads,yellow_urine,loss_of_balance
Dengue,itching,swelling_of_stomach,painful_walking,swollen_legs,knee_pain,mild_fever,sweating,
Allergy,stomach_pain,receiving_unsterile_injections,breathlessness,acidity,irregular_sugar_level,,,
Drug Reaction,breathlessness,diarrhoea,belly_pain,cough,loss_of_smell,chest_pain,,
Urinary tract infection,swelling_joints,sunken_eyes,swollen_legs,nodal_skin_eruptions,pus_filled_pimples,congestion,weight_loss,
Drug Reaction,diarrhoea,breathlessness,belly_pain,loss_of_smell,chest_pain,cough,,
Dengue,swelling_of_stomach,itching,swollen_legs,knee_pain,sweating,mild_fever,painful_walking,
Arthritis,small_dents_in_nails,malaise,mood_swings,mucoid_sputum,lethargy,bloody_stool,weight_gain,mild_fever
Hypothyroidism,bloody_stool,blister,rusty_sputum,congestion,inflammatory_nails,cough,continuous_sneezing,yellowing_of_eyes
Peptic ulcer disease,toxic_look_(typhos),continuous_feel_of_urine,vomiting,swollen_legs,,,,
Drug Reaction,breathlessness,diarrhoea,chest_pain,loss_of_smell,belly_pain,cough,,
Impetigo,breathlessness,history_of_alcohol_consumption,knee_pain,nodal_skin_eruptions,hip_joint_pain,,,
Diabetes,pain_in_anal_region,lethargy,pain_during_bowel_movements,drying_and_tingling_lips,,,,
Hypothyroidism,yellowing_of_eyes,congestion,cough,inflammatory_nails,blister,rusty_sputum,bloody_stool,continuous_sneezing
Psoriasis,muscle_pain,neck_pain,mood_swings,swollen_extremeties,passage_of_gases,,,
Varicose veins,dizziness,blackheads,restlessness,burning_micturition,blood_in_sputum,sunken_eyes,,
Gastroenteritis,brittle_nails,belly_pain,irritability,painful_walking,,,,
Dimorphic hemmorhoids(piles),sunken_eyes,dizziness,fatigue,anxiety,loss_of_smell,sweating,mucoid_sputum,
Gastroenteritis,brittle_nails,belly_pain,painful_walking,irritability,,,,
Diabetes,lethargy,pain_during_bowel_movements,pain_in_anal_region,drying_and_tingling_lips,,,,
Hypertension,blackheads,weakness_in_limbs,acute_liver_failure,belly_pain,yellow_urine,neck_pain,loss_of_balance,puffy_face_and_eyes
Cervical spondylosis,extra_marital_contacts,congestion,cold_hands_and_feets,swelling_joints,polyuria,pus_filled_pimples,,
Psoriasis,mood_swings,muscle_pain,neck_pain,passage_of_gases,swollen_extremeties,,,
